Date,Tweet,User,Tweet ID,Tweet Url,Cleaned Tweet,Sentiment,Confidence
2022-12-21 03:37:03+00:00,"@maciejwalkowiak @jonatan_ivanov @MongoDB @MySQL @apachekafka @mariadb @Elasticsearch Nice. I have one too, specifically works for windows os. https://t.co/2330YKnBAd",JosephGan,1605406969808158720,https://twitter.com/JosephGan/status/1605406969808158720,"_ivanov nice. one too, specifically work window os.",positive,0.9636961817741394
2022-12-21 02:56:32+00:00,"tencentcloud-sdk-mariadb (3.0.477): Tencent Cloud Ruby SDK is the official software development kit, which allows Ruby developers to wri https://t.co/VsHdaKBF5u",RubygemsN,1605396773945556992,https://twitter.com/RubygemsN/status/1605396773945556992,"tencentcloud-sdk-mariadb (3.0.477): tencent cloud ruby sdk official software development kit, allows ruby developer wri",neutral,0.8051702380180359
2022-12-21 02:08:20+00:00,"Have you heard about MariaDB Relational Database?

Checkout this thread to learn about it.

#aws #cloud #tech

1/5",Fourdaywork,1605384644198891520,https://twitter.com/Fourdaywork/status/1605384644198891520,heard mariadb relational database? checkout thread learn it. aws cloud tech 1/5,neutral,0.8682237863540649
2022-12-21 01:58:19+00:00,"5. Because MariaDB versions 10.0, 10.1, 10.2, and 10.3 are supported by Amazon RDS, you can continue to use the current code, programs, and tools.

4/5",peerxp,1605382121740292096,https://twitter.com/peerxp/status/1605382121740292096,"5. mariadb version 10.0, 10.1, 10.2, 10.3 supported amazon rds, continue use current code, programs, tools. 4/5",neutral,0.7525728344917297
2022-12-21 01:58:17+00:00,"3. You may quickly and affordably deploy MariaDB databases on resizable hardware using Amazon RDS.

4. It relieves you of managing the time-consuming administration duties including software installation, patching, monitoring, scalability, and backups.

3/5",peerxp,1605382116727988224,https://twitter.com/peerxp/status/1605382116727988224,"3. may quickly affordably deploy mariadb database resizable hardware using amazon rds. 4. relief managing time-consuming administration duty including software installation, patching, monitoring, scalability, backups. 3/5",positive,0.4964565336704254
2022-12-21 01:58:16+00:00,"1. The creators of MySQL created the open source relational database known as MariaDB.

2. The AWS cloud makes it simple to set up, run, and scale MariaDB deployments.

2/5",peerxp,1605382111648792577,https://twitter.com/peerxp/status/1605382111648792577,"1. creator mysql created open source relational database known mariadb. 2. aws cloud make simple set up, run, scale mariadb deployments. 2/5",neutral,0.6384446024894714
2022-12-21 01:58:16+00:00,"Have you heard about MariaDB Relational Database?

Checkout this thread to learn about it.

#aws #cloud #tech

1/5",peerxp,1605382110780559360,https://twitter.com/peerxp/status/1605382110780559360,heard mariadb relational database? checkout thread learn it. aws cloud tech 1/5,neutral,0.8682237863540649
2022-12-21 01:26:25+00:00,"I'm kidding, OpenAI chat is not so concise.  That comment came from a HackerNews comment on the IPO for MariaDB.  

If none of this makes any sense to you then you have reached enlightenment since it is all garbage.",tweetatweir,1605374097676177408,https://twitter.com/tweetatweir/status/1605374097676177408,"i'm kidding, openai chat concise. comment came hackernews comment ipo mariadb. none make sense reached enlightenment since garbage.",negative,0.8998063206672668
2022-12-21 00:22:53+00:00,"@marcellogpassos @maciejwalkowiak @MongoDB @MySQL @apachekafka @mariadb @Elasticsearch What do you mean by supported and expanded?
Is there anything there right now that you have issues with or found anything that is missing?",jonatan_ivanov,1605358107978530816,https://twitter.com/jonatan_ivanov/status/1605358107978530816,mean supported expanded? anything right issue found anything missing?,negative,0.5047012567520142
2022-12-21 00:15:17+00:00,MariaDB lost more than half its value in first two days as a public company  https://t.co/xsidNGwbL3,bizjournals,1605356195828703238,https://twitter.com/bizjournals/status/1605356195828703238,mariadb lost half value first two day public company,negative,0.7419143319129944
2022-12-21 00:05:00+00:00,"Calling all #python lovers. 🗣️ 

Unlock the full potential of #MariaDB using the MariaDB connector for python.

Start with a live coding demonstration to get up and running in no time. 👇
https://t.co/tk2isHOiTj",mariadb,1605353606034739202,https://twitter.com/mariadb/status/1605353606034739202,calling python lovers. 🗣️ unlock full potential mariadb using mariadb connector python. start live coding demonstration get running time. 👇,positive,0.8420502543449402
2022-12-20 23:32:04+00:00,MariaDB lost more than half its value in first two days as a public company  https://t.co/yJP4z7e8dX,SFBusinessTimes,1605345319709036545,https://twitter.com/SFBusinessTimes/status/1605345319709036545,mariadb lost half value first two day public company,negative,0.7419143319129944
2022-12-20 23:30:31+00:00,MariaDB lost more than half its value in first two days as a public company  https://t.co/GU6OGp7ZFT,bizjournals,1605344930460831746,https://twitter.com/bizjournals/status/1605344930460831746,mariadb lost half value first two day public company,negative,0.7419143319129944
2022-12-20 23:30:09+00:00,MariaDB lost more than half its value in first two days as a public company  https://t.co/9WAJjXyXNF,svbizjournal,1605344836797734918,https://twitter.com/svbizjournal/status/1605344836797734918,mariadb lost half value first two day public company,negative,0.7419143319129944
2022-12-20 23:21:46+00:00,"TIL MariaDB is a company, and not just an open source fork of MySQL... https://t.co/Pfua4z3r51",geerlingguy,1605342728044290054,https://twitter.com/geerlingguy/status/1605342728044290054,"til mariadb company, open source fork mysql...",neutral,0.8849449157714844
2022-12-20 23:13:24+00:00,@maciejwalkowiak @jonatan_ivanov @MongoDB @MySQL @apachekafka @mariadb @Elasticsearch That's something I was looking for for a while. It must be supported and expanded.,marcellogpassos,1605340620813307905,https://twitter.com/marcellogpassos/status/1605340620813307905,_ivanov that's something looking while. must supported expanded.,positive,0.792484700679779
2022-12-20 22:52:46+00:00,@mariadb @NYSE @BigDATAwireNews What prevents Larry Ellison from buying up stock and creating the thing you were supposed to prevent?,techtrav,1605335426591604737,https://twitter.com/techtrav/status/1605335426591604737,prevents larry ellison buying stock creating thing supposed prevent?,neutral,0.6516152620315552
2022-12-20 22:44:45+00:00,"Have you heard? #MariaDB has landed on the @NYSE!

Our new generation #cloud #database products are engineered to support any workload, any scale, and any cloud, enabling customers to do more with their data. Our CEO shares more with @BigDATAwireNews: https://t.co/Ll8PWanwLA https://t.co/H8Za9GVgKn",mariadb,1605333412273061890,https://twitter.com/mariadb/status/1605333412273061890,"heard? mariadb landed ! new generation cloud database product engineered support workload, scale, cloud, enabling customer data. ceo share :",positive,0.6805772185325623
2022-12-20 22:19:04+00:00,"Significant Changes Coming to MariaDB's Update Schedule: Changes in MariaDB's Update Schedule If your Linux distro uses MariaDB Community Server, take note of significant changes made to how MariaDB is distributed to millions of… https://t.co/cbqowleQId #linux #opensource #cloud",embedded_house,1605326948590587904,https://twitter.com/embedded_house/status/1605326948590587904,"significant change coming mariadb's update schedule: change mariadb's update schedule linux distro us mariadb community server, take note significant change made mariadb distributed million of… linux opensource cloud",neutral,0.8159042000770569
2022-12-20 22:16:01+00:00,"MariaDB plunges nearly 40% in NYSE debut after SPAC merger
https://t.co/uvzc5ClxaW
Article URL: https://t.co/uvzc5ClxaW Comments URL: https://t.co/BKBWiqx9yM Points: 103 # Comments: 44",M157q_News_RSS,1605326181116416001,https://twitter.com/M157q_News_RSS/status/1605326181116416001,mariadb plunge nearly 40% nyse debut spac merger article url: comment url: points: 103 comments: 44,neutral,0.6249021887779236
2022-12-20 22:14:04+00:00,MariaDB plunges nearly 40% in NYSE debut after SPAC merger via /r/hackernews https://t.co/FkyzFZsq0E,wvdsteen,1605325690202619905,https://twitter.com/wvdsteen/status/1605325690202619905,mariadb plunge nearly 40% nyse debut spac merger via /r/hackernews,neutral,0.8346232771873474
2022-12-20 21:50:02+00:00,"MariaDB, MySQL fork by its original developers, down -40% on its SPAC debut 

https://t.co/j53wG2tB0K",moo9000,1605319642373042176,https://twitter.com/moo9000/status/1605319642373042176,"mariadb, mysql fork original developers, -40% spac debut",neutral,0.5199031829833984
2022-12-20 21:31:00+00:00,"Get the most out of your #DistributedSQL #database with #MariaDB.

We share the key factors in determining how well a distributed SQL database performs in a beyond-the-basics practical presentation. 

Ready for optimal performance?
https://t.co/ZScQFz6BJ4",mariadb,1605314850502098945,https://twitter.com/mariadb/status/1605314850502098945,get distributedsql database mariadb. share key factor determining well distributed sql database performs beyond-the-basics practical presentation. ready optimal performance?,neutral,0.7669788599014282
2022-12-20 21:13:18+00:00,"Congrats MariaDB for becoming MariaDB PLC - a publicly traded company!
@mariadb @mariadb_org 
https://t.co/ZU4A0D2ByH",FedericoRazzol1,1605310396147302405,https://twitter.com/FedericoRazzol1/status/1605310396147302405,congrats mariadb becoming mariadb plc - publicly traded company! _org,positive,0.9785729050636292
2022-12-20 21:00:00+00:00,MariaDB Completes Merger and Begins Trading on NYSE https://t.co/qNDvROQUly,TechCompanyNews,1605307050489061376,https://twitter.com/TechCompanyNews/status/1605307050489061376,mariadb completes merger begin trading nyse,neutral,0.8519603610038757
2022-12-20 20:32:59+00:00,MariaDB plunges nearly 40% in NYSE debut after SPAC merger https://t.co/sje98SCYWg (https://t.co/yA9J6sOBkH),betterhn50,1605300251304378369,https://twitter.com/betterhn50/status/1605300251304378369,mariadb plunge nearly 40% nyse debut spac merger (,neutral,0.5222743153572083
2022-12-20 20:21:29+00:00,"@maciejwalkowiak @jonatan_ivanov @MongoDB @MySQL @apachekafka @mariadb @Elasticsearch My collection is crying somewhere in corner 😅

https://t.co/OA4b62NYfS",GoodforGod,1605297356106108928,https://twitter.com/GoodforGod/status/1605297356106108928,_ivanov collection cry somewhere corner 😅,neutral,0.5357643365859985
2022-12-20 20:13:00+00:00,"If you’re making big moves in your company or your industry with the help of #MariaDB database products, we’d like to salute you.

Submit your nominations for the MariaDB Wavemaker Awards: https://t.co/nM7YFL4pWa 🏆

Winners will be celebrated at #MariaDBOpenWorks 2023! https://t.co/adP5DYpApl",mariadb,1605295220907597985,https://twitter.com/mariadb/status/1605295220907597985,"you’re making big move company industry help mariadb database products, we’d like salute you. submit nomination mariadb wavemaker awards: 🏆 winner celebrated mariadbopenworks 2023!",positive,0.975524365901947
2022-12-20 19:56:47+00:00,"Significant Changes Coming to MariaDB's Update Schedule 
Read more →  https://t.co/GPiC8o0Eqe https://t.co/Pnp7G0bWQY",CloudLinuxOS,1605291140361736206,https://twitter.com/CloudLinuxOS/status/1605291140361736206,significant change coming mariadb's update schedule read →,neutral,0.9101477861404419
2022-12-20 19:56:03+00:00,MariaDB plunges nearly 40% in NYSE debut after SPAC merger https://t.co/MwjjReBdY2,winsontang,1605290954977865728,https://twitter.com/winsontang/status/1605290954977865728,mariadb plunge nearly 40% nyse debut spac merger,neutral,0.603934109210968
2022-12-20 19:52:16+00:00,MariaDB plunges nearly 40% in NYSE debut after SPAC merger https://t.co/J8zBZowPmA (https://t.co/iIPqbMY03m),betterhn20,1605290002799382556,https://twitter.com/betterhn20/status/1605290002799382556,mariadb plunge nearly 40% nyse debut spac merger (,neutral,0.5222743153572083
