Date,Tweet,User,Tweet ID,Tweet Url,Cleaned Tweet,Sentiment,Confidence
2022-12-22 03:17:25+00:00,"We have written a blog post on how Keystone's Node API works. The example in the post uses Next.js but since both Next.js and Astro are node based servers, they are interchangeable.

https://t.co/IvlX3Ikm7u",KeystoneJS,1605764419123744769,https://twitter.com/KeystoneJS/status/1605764419123744769,"written blog post keystone's node api works. example post us next.js since next.js astro node based servers, interchangeable.",positive,0.5101954936981201
2022-12-22 03:17:25+00:00,"Keystone + Astro 🚀

A static @astrodotbuild page rendered using the data from Keystone's recently released Node API.
 
Iterate faster with Keystone. Ship leaner with Astro. https://t.co/2mJLj2dQet",KeystoneJS,1605764416779288577,https://twitter.com/KeystoneJS/status/1605764416779288577,keystone + astro 🚀 static page rendered using data keystone's recently released node api. iterate faster keystone. ship leaner astro.,neutral,0.6331037282943726
2022-12-22 01:50:55+00:00,@mileswjohnson @solid_js Why do you need vite proxy? :) Could you use Astro or SolidStart?,JLarky,1605742650186833922,https://twitter.com/JLarky/status/1605742650186833922,_js need vite proxy? :) could use astro solidstart?,neutral,0.75
2022-12-22 00:48:04+00:00,"@GreighSweats @vandelayartt @UnnecRoughness what is going on right now?? lol first I thought you were a boomer, now I’m not sure you’ve passed the 5th grade. I know ruby, js, c++, dart, swift. Do you know the alphabet?",astrostreet11,1605726834192252929,https://twitter.com/astrostreet11/status/1605726834192252929,"going right now?? lol first thought boomer, i’m sure you’ve passed 5th grade. know ruby, js, c++, dart, swift. know alphabet?",neutral,0.5379915833473206
2022-12-21 17:08:31+00:00,"obsidian-file-color by @ecustic
tinfoil by @brett_8975
Glimpse-notes by @KiranDebnath20
socket-config-js by @SocketSecurity
expirables by @Cadienvan
tauri-astro-template by @jonaskruckie
sveltekit-auth-example by @nextauthjs
hpdf by frimuchkov
Fort.js by idriskhenchil",jstoolsweekly,1605611183452479503,https://twitter.com/jstoolsweekly/status/1605611183452479503,obsidian-file-color tinfoil _8975 glimpse-notes 20 socket-config-js expirables tauri-astro-template sveltekit-auth-example hpdf frimuchkov fort.js idriskhenchil,neutral,0.8767832517623901
2022-12-21 13:10:04+00:00,@kandros5591 @rauchg @DKundel @astrodotbuild @sveltekit @nextjs @flybayer Yeah I have used Blitz recipes before and they are great.  Looks like they recently merged a PR to update the recipes to work with @blitz_js 2.0.,jonkkillian,1605551175192834048,https://twitter.com/jonkkillian/status/1605551175192834048,5591 yeah used blitz recipe great. look like recently merged pr update recipe work _js 2.0.,positive,0.9247345924377441
2022-12-21 12:35:30+00:00,can @astrodotbuild dev build perform like @vite_js,reactporiyalar,1605542477443739648,https://twitter.com/reactporiyalar/status/1605542477443739648,dev build perform like _js,neutral,0.7613598704338074
2022-12-21 09:05:31+00:00,"@Zeko369 @rauchg @DKundel @jonkkillian @astrodotbuild @sveltekit @nextjs @blitz_js Yeah that would be cool. This would serve best at the base level. So not next but the build tool it uses, with an extension for configuring next.",ScriptedAlchemy,1605489630962257922,https://twitter.com/ScriptedAlchemy/status/1605489630962257922,"369 _js yeah would cool. would serve best base level. next build tool uses, extension configuring next.",positive,0.9182016849517822
2022-12-21 08:56:45+00:00,@ScriptedAlchemy @rauchg @DKundel @jonkkillian @astrodotbuild @sveltekit @nextjs Something like @blitz_js recipes but cross platform/library 😱?,Zeko369,1605487426406821888,https://twitter.com/Zeko369/status/1605487426406821888,something like _js recipe cross platform/library 😱?,neutral,0.9181039333343506
2022-12-21 06:05:21+00:00,"@rauchg @jonkkillian @astrodotbuild @sveltekit @nextjs From what I remember it installs both the relevant npm deps and asks you to confirm modifications on the astro.config.js file by importing the dependencies, finding the relevant array in the config, and adding the plugin into said array",DKundel,1605444290494091264,https://twitter.com/DKundel/status/1605444290494091264,"remember installs relevant npm deps asks confirm modification astro.config.js file importing dependencies, finding relevant array config, adding plugin said array",neutral,0.8965491652488708
